"","obs_month","obs_year","mz_mean","mz_sd"
"1",1,2007,34.4121908957316,1.84838935858784
"2",2,2007,40.6141328502232,2.083362891859
"3",3,2007,45.6291909184976,7.99646355315361
"4",4,2007,35.7306353380655,3.87147704636786
"5",5,2007,15.2532768221336,2.1874166048211
"6",6,2007,15.3864945296454,1.61020172050755
"7",7,2007,16.258850268524,1.71557746274449
"8",8,2007,17.7622404380844,1.69107211195172
"9",9,2007,19.0207093678763,2.5490275929775
"10",10,2007,21.2718285847865,1.83104355730566
"11",11,2007,24.1294612191325,1.51964421420884
"12",12,2007,29.634203756619,3.72139015728406
"13",1,2008,66.6581475793965,11.6712725711704
"14",2,2008,68.1886441542335,11.715630721783
"15",3,2008,57.1701292236449,6.13454116551442
"16",4,2008,46.1516142907453,2.54453372280998
"17",5,2008,32.9052306999949,3.6716378085325
"18",6,2008,37.6561425854478,3.02370535242024
"19",7,2008,48.0400962165418,4.49956149502779
"20",8,2008,56.6133024330439,2.94401669908085
"21",9,2008,61.6834348084864,9.08907530016217
"22",10,2008,54.3921475066108,3.09631358322531
"23",11,2008,55.9779903404155,5.58941735825308
"24",12,2008,67.6340157136852,13.2738910044212
"25",1,2009,60.4866825545132,9.81845423106348
"26",2,2009,53.3393493927564,6.41728144496743
"27",3,2009,46.1920162344715,3.24569790308289
"28",4,2009,39.0446830741823,2.11215647548312
"29",5,2009,34.3083946011175,1.59935597274622
"30",6,2009,34.7769428482775,3.917491651895
"31",7,2009,35.8945915377762,3.98566411946355
"32",8,2009,37.0122402275925,4.11351262322441
"33",9,2009,38.1298889210451,4.29571226090067
"34",10,2009,39.2475376122469,4.5257034265801
"35",11,2009,40.89788924254,3.9926003452869
"36",12,2009,36.0816847519406,2.38071136096379
"37",1,2010,31.2654802617574,2.90675395515666
"38",2,2010,32.1156623429321,3.14128590943291
"39",3,2010,33.1008084749954,3.16415828390944
"40",4,2010,30.4505941437058,3.68704426607222
"41",5,2010,31.0467043713595,4.19938967589907
"42",6,2010,31.6428146343083,6.09958862403844
"43",7,2010,30.7533784090366,3.18500547403714
"44",8,2010,31.1624606581941,3.62432942487026
"45",9,2010,32.0463311139252,3.14875203453883
"46",10,2010,30.7210652149422,3.57944525139757
"47",11,2010,31.5196925870245,3.81648817485277
"48",12,2010,30.7182142139193,7.07289233223422
"49",1,2011,55.2133451248849,8.35344522481309
"50",2,2011,52.1102480383502,5.28410100777913
"51",3,2011,49.2082266353347,2.5957422834044
"52",4,2011,43.5778203746472,2.57787225309765
"53",5,2011,24.6977493628443,3.3116622695751
"54",6,2011,23.5815700712788,2.56196279310746
"55",7,2011,25.7360729831697,4.19455324399163
"56",8,2011,27.335201227815,3.49868328110767
"57",9,2011,32.2106258843213,3.02886766979641
"58",10,2011,32.7999673318891,4.43016186965491
"59",11,2011,34.6123179040578,4.80306994838521
"60",12,2011,39.9250317957801,4.96994417439379
"61",1,2012,92.4771147081406,6.77878838441402
"62",2,2012,110.288515828432,8.14286292955092
"63",3,2012,137.491758143034,11.8840649506727
"64",4,2012,102.854577891378,19.3431451706944
"65",5,2012,38.9033085572527,3.63403707344695
"66",6,2012,44.5015441940215,6.07153044922821
"67",7,2012,54.9028316281903,9.53284118031508
"68",8,2012,56.5303893407032,7.06214102132594
"69",9,2012,57.0346339821421,6.94808383166405
"70",10,2012,58.5034205338088,6.4400270477003
"71",11,2012,63.5632609561146,6.7543744683062
"72",12,2012,70.2969023276672,8.3667835736371
"73",1,2013,146.812493957741,10.9577623587401
"74",2,2013,128.843006674856,11.5549932002668
"75",3,2013,113.75748012196,6.24629659292864
"76",4,2013,99.9129559066597,15.2285287527617
"77",5,2013,88.2309927614416,6.36372434389315
"78",6,2013,88.7810831738609,11.7753886073023
"79",7,2013,98.9801607447834,10.0782100769907
"80",8,2013,119.287554516529,6.11680333041629
"81",9,2013,117.026161394151,8.13874440615975
"82",10,2013,118.087302985436,10.0931312395955
"83",11,2013,119.9461028784,5.88236987079419
"84",12,2013,127.980856872271,13.2060195295489
"85",1,2014,96.998817452106,10.1662951599946
"86",2,2014,99.2884973346508,8.57174528747474
"87",3,2014,94.137915920013,7.71677721272022
"88",4,2014,88.9873344981465,7.23686239449775
"89",5,2014,83.8367530912741,7.2073155662932
"90",6,2014,78.6861716843799,7.63336829296685
"91",7,2014,79.2523877287954,5.60358565299993
"92",8,2014,84.0436416553229,12.5287765465069
"93",9,2014,79.1868508111484,9.09068246415178
"94",10,2014,75.5334316982543,7.06574117863582
"95",11,2014,78.2029791410598,7.44632320303272
"96",12,2014,80.8725265863624,8.65330951989133
"97",1,2015,197.296703135604,14.5538121503477
"98",2,2015,228.597601187707,16.0697634803638
"99",3,2015,235.42327453914,17.3028963259614
"100",4,2015,175.508465235175,10.5079952189029
"101",5,2015,115.914242945472,2.42768031385872
"102",6,2015,112.500207404383,10.4005786397067
"103",7,2015,116.625563229173,13.8838591063709
"104",8,2015,125.025612003332,13.543412362539
"105",9,2015,133.736137404989,12.7535410108274
"106",10,2015,140.30935872554,10.8478354804845
"107",11,2015,146.231902153297,10.3391271368552
"108",12,2015,159.1696851519,20.494751042823
"109",1,2016,227.538442871098,7.82734305400545
"110",2,2016,209.992784624151,14.9507796441678
"111",3,2016,195.224311171933,17.2678991707547
"112",4,2016,160.472586151455,31.2021415475882
"113",5,2016,171.513806484062,13.4917731763202
"114",6,2016,204.554602065011,23.9123868968076
"115",7,2016,221.228422766484,23.1873738699479
"116",8,2016,218.497105350218,24.7009055096596
"117",9,2016,214.951406707093,22.9700859594739
"118",10,2016,218.80427210925,19.2739246762185
"119",11,2016,235.604732206051,6.81733242770785
"120",12,2016,238.133180077529,4.8170200201954
"121",1,2017,103.366859176828,8.32192834252014
"122",2,2017,112.634603751994,15.75944017905
"123",3,2017,115.245964562179,16.0662696686333
"124",4,2017,92.2304262060402,6.48070090918793
"125",5,2017,106.991055846477,11.7697294714771
"126",6,2017,95.8273195711754,15.9628557411118
"127",7,2017,99.4522280732703,14.1569308182679
"128",8,2017,99.0717809598089,9.72756179465469
"129",9,2017,102.347542891407,14.0545968142722
"130",10,2017,101.184459289265,10.124071857101
"131",11,2017,96.4665350518499,11.0881539054049
"132",12,2017,93.9043956349677,12.3867224421318
"133",1,2018,179.187387267617,22.94939073335
"134",2,2018,164.062348558639,17.9998100493336
"135",3,2018,181.681766618047,18.5833427028404
"136",4,2018,150.083198711917,10.8793295691916
"137",5,2018,94.0293469404263,2.60236488265355
"138",6,2018,99.6986542130735,5.79108893607382
"139",7,2018,113.323883348267,11.2367326611529
"140",8,2018,119.310060306118,16.0830196681795
"141",9,2018,121.724879778536,18.4265255305915
"142",10,2018,120.911492599914,17.2395845563837
"143",11,2018,126.57577235109,13.3812565893626
"144",12,2018,145.693424519438,19.485117666831
"145",1,2019,287.767428821608,41.1118090030531
"146",2,2019,297.720625071436,30.7554135656985
"147",3,2019,283.721439570462,8.62449088921777
"148",4,2019,182.440841606394,19.4939668566008
"149",5,2019,131.135237375939,6.46553408271338
"150",6,2019,147.649104930907,16.9297409150779
"151",7,2019,179.857555589138,6.82233473001673
"152",8,2019,197.513417254341,30.1335391743357
"153",9,2019,202.987081051442,29.8074645481827
"154",10,2019,217.261432276058,22.1710830138928
"155",11,2019,244.885257532429,25.3700603953413
"156",12,2019,254.777308714342,33.1273637835027
"157",1,2020,196.211862025783,16.651435377776
"158",2,2020,183.611573386306,6.21939097150652
"159",3,2020,154.231411131197,15.6645571001965
"160",4,2020,139.060489856881,9.34801776144263
"161",5,2020,155.320227562264,16.9351531584762
"162",6,2020,156.868934617328,24.4642489470538
"163",7,2020,161.060951120842,7.43143551307254
"164",8,2020,160.791042322996,23.0507634047932
"165",9,2020,169.451876125258,17.2332953939895
"166",10,2020,180.373969524672,17.8492934047152
"167",11,2020,177.758868671787,15.7063740195905
"168",12,2020,202.058243712709,51.839480413247
"169",1,2021,184.91751296925,20.7777445907567
"170",2,2021,171.097734882831,18.1640044855692
"171",3,2021,157.277956788875,16.0498316834232
"172",4,2021,143.458178682237,14.6530810926974
"173",5,2021,129.638400581973,14.1872521663487
"174",6,2021,125.196954551886,12.1264975629381
"175",7,2021,126.453647705703,0.00564112601816492
"176",8,2021,132.489971547629,12.7763546533865
"177",9,2021,142.454293590068,16.2356107337819
"178",10,2021,134.427629953643,23.8868061383594
"179",11,2021,138.989052969649,23.9403782165593
"180",12,2021,147.213179695479,17.1799669327519
